CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
29.277264, -94.844567, 4
29.278125, -94.836974, 4
29.306792, -94.78201, 2
29.30025, -94.80485, 5
29.199113, -94.943571, 1
29.199113, -94.943571, 1
29.279983, -94.878235, 7
29.237661, -94.882767, 7
29.304251, -94.786085, 2
29.304251, -94.786085, 2
29.305721, -94.777273, 2
29.305721, -94.777273, 2
29.288712, -94.87384, 7
29.297937, -94.802004, 5
29.300738, -94.796739, 5
29.296905, -94.801291, 5
29.280478, -94.826145, 0
29.300657, -94.784449, 2
29.300657, -94.784449, 2
29.260365, -94.84524, 4
29.286663, -94.802219, 5
29.270133, -94.838453, 4
29.294372, -94.811078, 5
29.279846, -94.833556, 0
29.254428, -94.85524, 4
29.298962, -94.78242, 2
29.298962, -94.78242, 2
29.297146, -94.808736, 5
29.295381, -94.811428, 5
29.30832, -94.783761, 2
29.307976, -94.775685, 2
29.281885, -94.827803, 0
29.182969, -94.973307, 6
29.295246, -94.783917, 2
29.29791, -94.786746, 2
29.310326, -94.784412, 2
29.274322, -94.837611, 4
29.304315, -94.777511, 2
29.276791, -94.830014, 0
29.180468, -94.9753, 6
29.181761, -94.976497, 6
29.308648, -94.780442, 2
29.308648, -94.780442, 2
29.292262, -94.797232, 5
29.287014, -94.818536, 0
29.287014, -94.818536, 0
29.294233, -94.810782, 5
29.290752, -94.790298, 5
29.319399, -94.77087, 2
29.11542, -95.078476, 3
29.291053, -94.81553, 0
29.274705, -94.837747, 4
29.273692, -94.836564, 4
29.284796, -94.803787, 5
29.310332, -94.784412, 2
29.281823, -94.868902, 7
29.262932, -94.867359, 7
29.146284, -95.04455, 3
29.283237, -94.820697, 0
29.278855, -94.83753, 4
29.260535, -94.844738, 4
29.265688, -94.870169, 7
29.26991, -94.840134, 4
29.26991, -94.840134, 4
29.27523, -94.827481, 0
29.294213, -94.806, 5
29.273122, -94.842291, 4
29.303839, -94.799366, 5
29.140783, -95.041669, 3
29.272635, -94.841564, 4
29.27115, -94.87724, 7
29.27526, -94.827443, 0
29.276528, -94.841592, 4
29.305284, -94.79734, 5
29.274466, -94.826889, 0
29.278079, -94.83436, 4
29.272395, -94.839417, 4
29.266898, -94.84403, 4
29.295856, -94.809189, 5
29.255104, -94.870867, 7
29.27556, -94.835525, 4
29.304753, -94.786552, 2
29.244358, -94.876833, 7
29.274536, -94.834291, 4
29.179505, -94.977414, 6
29.300756, -94.787842, 2
29.298853, -94.79008, 2
29.265224, -94.87734, 7
29.28684, -94.840388, 4
29.17231, -94.989598, 6
29.25322, -94.86635, 7
29.320099, -94.771024, 2
29.255422, -94.874581, 7
29.274669, -94.829555, 0
