FID,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,target_ele,image_date,edge,is_lowest_,area_m2,STATIC_BFE,Under_fld
5263,19853_29.2773326_-94.8444247_0_228.65.jpg,DEpclQyiWt_Xix8nIuXZ5Q,19853,0.611328,700,581,392,-0.109472586,-0.809833107,15.7646911,-2.115928588,1.306095481,0.700360521,0.217692155,29.2773326,-94.8444247,29.27726391,-94.84456675,-0.109472586,"[2020, 3]",Not_at_edge,Y,223.6320038,11,Y
5027,19456_29.2780488_-94.8366171_0_277.49.jpg,nU1BqkIRDU7k8GjejfHMWA,19456,0.431641,540,497,414,-0.08080615,-0.393291001,35.69035703,-2.797436242,2.404145241,0.312484851,0.109116959,29.2780488,-94.8366171,29.27812529,-94.83697386,-0.08080615,"[2019, 10]",Not_at_edge,Y,0,11,Y
418,10928_29.3066447_-94.7819566_0_343.01.jpg,UtHFaz0ZrDDry_LRHJVKUA,10928,0.754395,363,649,480,-0.078344013,-0.709320179,17.114669,-3.176353804,2.467033625,0.630976166,-0.01395496,29.3066447,-94.7819566,29.30679172,-94.78201042,-0.078344013,"[2021, 3]",Not_at_edge,Y,106.9079971,12,Y
2286,14262_29.30033_-94.8046854_0_238.99.jpg,8fL33KAYNeXQsMbykXGkPA,14262,0.275146,436,606,448,-0.072425335,-0.425673468,18.30920253,-2.847109539,2.421436071,0.353248133,0.036617103,29.30033,-94.8046854,29.30025014,-94.80485036,-0.072425335,"[2021, 4]",Not_at_edge,Y,1044.780029,12,Y
7620,24888_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,24888,0.416748,466,512,426,-0.064864486,-0.59316556,33.88338356,-3.045,2.45183444,0.528301074,0.057156086,29.19904945,-94.94322984,29.19911324,-94.94357058,-0.064864486,"[2020, 2]",Not_at_edge,Y,181.503006,16,Y
10004,4296_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,4296,0.416748,466,512,426,-0.064864486,-0.59316556,33.88338356,-3.045,2.45183444,0.528301074,0.057156086,29.1990495,-94.9432298,29.19911329,-94.94357054,-0.064864486,"[2020, 2]",Not_at_edge,Y,181.503006,16,Y
4560,18590_29.2806286_-94.8783762_0_165.08.jpg,75EmYlywqhiL0vWhYgXUwg,18590,0.330322,485,439,400,-0.061425645,-0.430854767,72.91423483,-2.842001169,2.411146402,0.369429122,0.071053919,29.2806286,-94.8783762,29.27998253,-94.87823497,-0.061425645,"[2020, 2]",Not_at_edge,Y,0,15,Y
6669,23114_29.238179_-94.8826455_0_184.91.jpg,U69qvzHE_dFkR2D0ms5W4g,23114,0.430908,552,457,407,-0.033312534,-0.614795391,58.58256434,-3.004396383,2.389600992,0.581482857,0.116695161,29.238179,-94.8826455,29.23766125,-94.88276663,-0.033312534,"[2021, 4]",Not_at_edge,Y,0,17,Y
677,11542_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,11542,0.401123,703,697,481,-0.029249703,-0.54678839,13.79921349,-2.951017316,2.404228926,0.517538686,0.219355035,29.30422741,-94.78594592,29.30425133,-94.78608531,-0.029249703,"[2019, 10]",Not_at_edge,Y,127.2580032,12,Y
10696,5422_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,5422,0.401123,703,697,481,-0.029249703,-0.54678839,13.79921349,-2.951017316,2.404228926,0.517538686,0.219355035,29.3042274,-94.7859459,29.30425132,-94.78608529,-0.029249703,"[2019, 10]",Not_at_edge,Y,127.2580032,12,Y
487,11068_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,11068,0.702637,562,528,432,-0.013347227,-0.700205011,30.53841555,-3.045,2.344794989,0.686857784,0.123916398,29.30598105,-94.77716752,29.30572137,-94.77727255,-0.013347227,"[2019, 9]",Not_at_edge,Y,152.2539978,11,Y
