,Unnamed: 0,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m.1,FFE_gsv_ft,STATIC_BFE.1,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
90,4950,6174,21958_29.2616997_-94.8458009_0_51.79.jpg,qn5F3m97EJX0lg3at_rm5Q,1.928631704,0.812907431,29.2616997,-94.8458009,29.26178114,-94.84564173,"[2021, 4]",11,Y,370.82901,3991.570244,1.928631704,6.327531837,11,Y,6.172468163,4.672468163,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80347.71896,116040.293,117571.9324,132612.3627,133067.6791,Y
33,6406,105,10217_29.320923_-94.7728373_0_271.50.jpg,TFd9UWa20IhyOB4aIzdEOg,1.398534843,0.952118701,29.320923,-94.7728373,29.32089346,-94.77305066,"[2019, 10]",11,Y,369.598999,3978.330515,1.398534843,4.588368907,11,Y,7.911631093,6.411631093,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85270.43554,123149.81,124775.2893,140737.2116,141220.4242,Y
100,1628,6552,22750_29.2535231_-94.8711324_0_274.25.jpg,Ra0Q8-zRzJLYiJ4SpuKo8w,1.661900951,0.784733278,29.2535231,-94.8711324,29.25351932,-94.8714213,"[2020, 2]",10,Y,369.0700073,3972.636496,1.661900951,5.452430942,10,Y,6.047569058,4.547569058,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,79594.46085,114952.4178,116469.6981,131369.1247,131820.1726,Y
45,2154,7057,2398_29.2698443_-94.839677_0_300.63.jpg,AZLwbbG8D0NYqPX-t5ZlzA,1.167573264,0.660948029,29.2698443,-94.839677,29.26995045,-94.83989766,"[2020, 3]",10,Y,368.2730103,3964.057692,1.167573264,3.830620945,10,Y,7.669379055,6.169379055,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84244.29,121667.8236,123273.7418,139043.5781,139520.9758,Y
27,6515,49,10105_29.325493_-94.7729193_0_60.52.jpg,svPbpyGsO-gkJYo35H-SKw,1.331050464,0.786594502,29.325493,-94.7729193,29.32554334,-94.77274451,"[2019, 9]",11,Y,368.2520142,3963.831692,1.331050464,4.366963465,11,Y,8.133036535,6.633036535,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,85749.71581,123841.9992,125476.6148,141528.2544,142014.1831,Y
164,1030,2480,1461_29.2820579_-94.8241449_0_163.49.jpg,9KTiRx_vhry1W2YCsfp89g,2.019662004,0.789593011,29.2820579,-94.8241449,29.28191414,-94.82409267,"[2020, 2]",10,Y,367.9419861,3960.494577,2.019662004,6.626187677,10,Y,4.873812323,3.373812323,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,75864.6964,109565.7937,111011.9748,125213.2203,125643.1322,Y
49,6242,8265,2606_29.2647485_-94.8464875_0_43.28.jpg,kU7vMqrwj6gHCGm2SgGHKg,1.474212392,0.803895117,29.2647485,-94.8464875,29.26491644,-94.84630789,"[2021, 4]",11,Y,367.5769958,3956.565854,1.474212392,4.836654829,11,Y,7.663345171,6.163345171,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,84067.16811,121412.0195,123014.5613,138751.2419,139227.6358,Y
116,11520,9226,28964_29.1234308_-95.067419_0_171.58.jpg,ZhumAiZ1pebj0L9fAHruuA,3.850642806,0.647217253,29.1234308,-95.067419,29.12315133,-95.06739746,"[2021, 4]",17,Y,367.4179993,3954.85443,3.850642806,12.63334254,17,Y,5.866657461,4.366657461,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,78701.57585,113662.8897,115163.1493,129895.4352,130341.4232,Y
82,1799,3437,16296_29.2866283_-94.8139685_0_327.93.jpg,YDRs02Ub3W1_tD24hFubMQ,1.478290375,0.803578857,29.2866283,-94.8139685,29.28677239,-94.81402476,"[2021, 4]",10,Y,366.3599854,3943.466063,1.478290375,4.850034039,10,Y,6.649965961,5.149965961,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80791.6603,116681.4448,118221.5468,133345.0793,133802.9115,Y
88,1754,3442,16305_29.2865746_-94.8141669_0_12.96.jpg,RHCxsDTC37n_obin7yRsMA,1.522427318,0.794088158,29.2865746,-94.8141669,29.286768,-94.81411418,"[2021, 4]",10,Y,366.3599854,3943.466063,1.522427318,4.994840282,10,Y,6.505159718,5.005159718,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80363.38142,116062.9131,117594.8511,132638.2133,133093.6185,Y
89,1755,3447,16311_29.2865746_-94.8141669_0_12.96.jpg,RHCxsDTC37n_obin7yRsMA,1.522427318,0.794088158,29.28657462,-94.81416692,29.28676802,-94.8141142,"[2021, 4]",10,Y,366.3599854,3943.466063,1.522427318,4.994840282,10,Y,6.505159718,5.005159718,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,80363.38142,116062.9131,117594.8511,132638.2133,133093.6185,Y
