,FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,construction_index_2015,construction_index_1998,rsmeans_construction_index_2015,rsmeans_construction_index_2021,ENR_BCI_index_2015,ENR_BCI_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998,cost_2015,cost_2021_RSMeans,cost_2021_ENR_BCI,cost_2021_PCI_Family_house,is_residential
0,0,236,400498,3505-0009-0012-000,615.8109741,14257_29.3009286_-94.7755722_0_336.06.jpg,xdfj2IZkwyy9f11MADVt9w,14257,0.845215,498,400,364,6.17885505,1.560395825,81.06661733,-0.90222944,2.462625265,4.618459225,0.07938053,29.3009286,-94.7755722,29.30161849,-94.77584925,2021,Not_at_edge,Y,F,-9999,NoData,615.8109741,6628.534159,6.17885505,20.27183415,-9999,N,0,-10019.27183,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
4,4,270,400532,3510-0043-2014-000,727.1209717,14795_29.2907731_-94.7900275_0_102.87.jpg,cbP6aUmVsv4Du-B-qndkJg,14795,0.57373,620,524,382,3.00921005,0.373565137,20.7632997,-2.001410306,2.374975443,2.635644913,0.163212442,29.2944289,-94.7900275,29.29435806,-94.78982967,2019,Not_at_edge,Y,T,11,Y,727.1209717,7826.665001,3.00921005,9.872736385,11,Y,1.127263615,1.127263615,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,133053.305,242681.1322,277339.1681,254943.683,278291.3952,Y
5,5,273,400535,3510-0009-1007-000,480.7730103,14072_29.2922203_-94.8093633_0_283.51.jpg,stkHFI9Zh4qisfVBr-j_MA,14072,0.891113,573,628,379,2.759361925,0.453729811,11.83224051,-1.997257051,2.450986862,2.305632114,0.131124667,29.29222029,-94.80936326,29.29225859,-94.80947693,2020,Not_at_edge,Y,T,11,Y,480.7730103,5174.997614,2.759361925,9.053024688,11,Y,1.946975312,1.946975312,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,87974.95943,160460.9728,183376.8959,168568.9819,184006.5093,Y
6,6,373,402258,3505-0164-0010-001,202.8999939,13802_29.2926853_-94.8161803_0_320.50.jpg,v9dJcayjDlCE14HqBiLJYA,13802,0.895996,282,485,339,3.254976227,1.033143713,19.97650742,-1.418215082,2.451358795,2.221832514,-0.071053919,29.2926853,-94.8161803,29.29281588,-94.81632201,2020,Not_at_edge,Y,T,11,Y,202.8999939,2183.997358,3.254976227,10.67905586,11,Y,0.320944137,0.320944137,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,37127.95508,67719.13089,77390.3074,71140.94317,77656.0223,Y
7,7,376,402261,3505-0164-0013-000,103.4950027,13834_29.292616_-94.8164804_0_309.11.jpg,itjnDewiyBCYTstz4t60Gg,13834,0.414307,180,493,348,3.11585343,0.9111439,20.2637995,-1.539998888,2.451142788,2.20470953,-0.140714119,29.292616,-94.8164804,29.29271029,-94.81665908,2020,Not_at_edge,Y,T,11,Y,103.4950027,1114.010938,3.11585343,10.22261624,11,Y,0.77738376,0.77738376,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,18938.18594,34542.09879,39475.16172,36287.49298,39610.69729,Y
8,8,377,402262,2965-0012-0013-002,111.1119995,13816_29.2928913_-94.8170099_0_223.98.jpg,kgsYMorwmMd3BJGJm15q_A,13816,0.816895,77,434,330,3.622896618,1.475357479,28.88133824,-0.985438877,2.460796356,2.147539139,-0.210363302,29.2928913,-94.8170099,29.29267015,-94.8171671,2021,Not_at_edge,Y,T,11,N,111.1119995,1195.999609,3.622896618,11.88614376,11,N,0,-0.88614376,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
9,9,438,402323,2965-0008-0022-000,135.9179993,14475_29.2911445_-94.8220787_0_312.55.jpg,4LfwxEayhDmxsabSOxVivA,14475,0.477295,306,458,353,3.08500158,0.93192517,28.01448889,-1.444424518,2.376349688,2.15307641,-0.054373264,29.2911445,-94.8220787,29.29130504,-94.82230138,2019,Not_at_edge,Y,T,11,Y,135.9179993,1463.009168,3.08500158,10.12139626,11,Y,0.87860374,0.87860374,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,24871.15586,45363.47492,51841.97172,47655.66759,52019.96798,Y
10,10,441,402326,7791-0016-0005-000,277.7349854,14524_29.291046_-94.8206281_0_15.30.jpg,1ahMyaeRrcaYJWFajtukAA,14524,0.934082,549,494,354,2.838523086,0.785988744,20.91729708,-1.609494273,2.395483017,2.052534342,0.114629821,29.291046,-94.8206281,29.29122114,-94.82054792,2020,Not_at_edge,Y,T,11,Y,277.7349854,2989.514502,2.838523086,9.312739783,11,Y,1.687260217,1.687260217,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,50821.74654,92695.77326,105933.9406,97379.64222,106297.6583,Y
11,11,465,402352,2965-0018-0009-000,109.4869995,14732_29.29089_-94.8230172_0_162.36.jpg,u383VH6beGVybe9QfVJG8w,14732,0.898926,232,513,313,3.384539808,1.194521869,14.62654415,-1.319495713,2.514017582,2.190017939,-0.104978317,29.29089005,-94.82301717,29.29076918,-94.82295677,2019,Not_at_edge,Y,T,11,N,109.4869995,1178.508254,3.384539808,11.10413323,11,N,0,-0.104133228,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
12,12,490,402380,2965-0018-0019-000,325.6740112,14796_29.2899946_-94.8228731_0_313.36.jpg,VJY07YNpKwAvEGA-SE6fSw,14796,0.416504,529,541,368,3.572215516,1.564760167,16.80616542,-1.843335908,3.408096075,2.007455349,0.101526153,29.2899946,-94.82287308,29.29010934,-94.82298615,2017,Not_at_edge,Y,T,11,N,325.6740112,3505.525882,3.572215516,11.71986718,11,N,0,-0.719867178,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
