,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
0,5263,19853_29.2773326_-94.8444247_0_228.65.jpg,DEpclQyiWt_Xix8nIuXZ5Q,-0.109472586,0.700360521,29.2773326,-94.8444247,29.27726391,-94.84456675,"[2020, 3]",11,Y,223.6320038,2407.154855,-0.109472586,-0.359162028,11,Y,12.85916203,11.35916203,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,63450.58485,87952.95161,108974.8147,100513.782,100858.89,Y
2,418,10928_29.3066447_-94.7819566_0_343.01.jpg,UtHFaz0ZrDDry_LRHJVKUA,-0.078344013,0.630976166,29.3066447,-94.7819566,29.30679172,-94.78201042,"[2021, 3]",12,Y,106.9079971,1150.748104,-0.078344013,-0.257034163,12,Y,13.75703416,12.25703416,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,31365.98037,43478.41017,53870.29774,49687.6951,49858.29478,Y
4,7620,24888_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.19904945,-94.94322984,29.19911324,-94.94357058,"[2020, 2]",16,Y,181.503006,1953.682097,-0.064864486,-0.212809993,16,Y,17.71280999,16.21280999,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,60979.90808,84528.18704,104731.4882,96599.91635,96931.58627,Y
5,10004,4296_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.1990495,-94.9432298,29.19911329,-94.94357054,"[2020, 2]",16,Y,181.503006,1953.682097,-0.064864486,-0.212809993,16,Y,17.71280999,16.21280999,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,60979.90808,84528.18704,104731.4882,96599.91635,96931.58627,Y
8,677,11542_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.30422741,-94.78594592,29.30425133,-94.78608531,"[2019, 10]",12,Y,127.2580032,1369.793746,-0.029249703,-0.095963593,12,Y,13.59596359,12.09596359,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,37115.88148,51448.71927,63745.61108,58796.26846,58998.14186,Y
9,10696,5422_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.3042274,-94.7859459,29.30425132,-94.78608529,"[2019, 10]",12,Y,127.2580032,1369.793746,-0.029249703,-0.095963593,12,Y,13.59596359,12.09596359,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,37115.88148,51448.71927,63745.61108,58796.26846,58998.14186,Y
10,487,11068_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.848393,-0.013347227,-0.043790115,11,Y,12.54379011,11.04379011,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,42681.82357,59164.03091,73304.97936,67613.42738,67845.57397,Y
11,10506,5153_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.848393,-0.013347227,-0.043790115,11,Y,12.54379011,11.04379011,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,42681.82357,59164.03091,73304.97936,67613.42738,67845.57397,Y
13,11453,6443_29.2976175_-94.8019464_0_343.01.jpg,vLDooUJMM9R7x-XNLP2NZg,0.008404294,0.705875737,29.2976175,-94.8019464,29.29793666,-94.80200436,"[2021, 3]",12,Y,218.5579987,2352.538719,0.008404294,0.027573143,12,Y,13.47242686,11.97242686,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,63453.67852,87957.23994,108980.128,100518.6828,100863.8076,Y
19,925,11980_29.3006354_-94.7847169_0_71.86.jpg,Z0rTKTE9VD5YNdowrq2iIg,0.043530245,0.755507664,29.30063543,-94.78471688,29.30065711,-94.78444858,"[2019, 10]",11,Y,141.3829956,1521.833899,0.043530245,0.142815764,11,Y,12.35718424,10.85718424,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,39350.3395,54546.04578,67583.23763,62335.93365,62549.96029,Y
20,11053,5911_29.3006354_-94.7847169_0_71.86.jpg,Z0rTKTE9VD5YNdowrq2iIg,0.043530245,0.755507664,29.3006354,-94.7847169,29.30065708,-94.7844486,"[2019, 10]",11,Y,141.3829956,1521.833899,0.043530245,0.142815764,11,Y,12.35718424,10.85718424,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,39350.3395,54546.04578,67583.23763,62335.93365,62549.96029,Y
22,6371,22424_29.2603924_-94.8449608_0_259.01.jpg,70P8on5hjsFYMHXAPmS4wA,0.050191912,0.767458097,29.2603924,-94.8449608,29.26036504,-94.84523971,"[2021, 4]",10,Y,262.9869995,2830.768503,0.050191912,0.164671627,10,Y,11.33532837,9.835328373,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,70303.06533,97451.61714,120743.7809,111368.9811,111751.3597,Y
23,12724,8857_29.2865581_-94.802446_0_58.25.jpg,QR-_OOZfPIy42bmqsvFjtA,0.057626427,0.89468209,29.2865581,-94.802446,29.28666337,-94.80221938,"[2019, 10]",10,Y,186.3130035,2005.456479,0.057626427,0.189063081,10,Y,11.31093692,9.810936919,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,49757.2542,68971.74204,85456.85696,78821.80778,79092.43766,Y
24,5918,21072_29.2701317_-94.8387115_0_92.25.jpg,Uejz2Qas5U9booEBCnmAiQ,0.062811649,0.674228977,29.27013167,-94.83871152,29.27013344,-94.83845318,"[2021, 4]",10,Y,269.7229919,2903.274122,0.062811649,0.206074964,10,Y,11.29392504,9.793925036,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,71983.56094,99781.0606,123629.9907,114031.0995,114422.6183,Y
26,4751,18903_29.2800069_-94.8333122_0_243.90.jpg,zFZxA64KSOrSVHeyswXXIg,0.079938187,0.666548704,29.2800069,-94.8333122,29.27984579,-94.83355555,"[2021, 4]",11,Y,250.5319977,2696.70398,0.079938187,0.262264393,11,Y,12.23773561,10.73773561,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,69407.05404,96209.59806,119204.9036,109949.5855,110327.0907,Y
28,1083,12230_29.2987698_-94.7821894_0_327.49.jpg,H0KvhRAltTdqs9Uv3RtLQQ,0.086457571,0.800367716,29.29876982,-94.7821894,29.29896188,-94.78241997,"[2019, 10]",11,Y,116.3399963,1252.273298,0.086457571,0.283653448,11,Y,12.21634655,10.71634655,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,32203.89411,44639.89649,55309.39392,51015.05684,51190.21393,Y
29,11298,6237_29.2987698_-94.7821894_0_327.49.jpg,H0KvhRAltTdqs9Uv3RtLQQ,0.086457571,0.800367716,29.2987698,-94.7821894,29.29896186,-94.78241997,"[2019, 10]",11,Y,116.3399963,1252.273298,0.086457571,0.283653448,11,Y,12.21634655,10.71634655,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,32203.89411,44639.89649,55309.39392,51015.05684,51190.21393,Y
30,1336,12653_29.29726_-94.8085416_0_237.75.jpg,EVMqj_1qjzvpkC9lTAVI8A,0.092515118,0.479410563,29.29726001,-94.80854165,29.29714581,-94.80873605,"[2019, 10]",12,Y,136.6000061,1470.350229,0.092515118,0.30352729,12,Y,13.19647271,11.69647271,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,39253.16475,54411.34558,67416.34239,62181.99651,62395.49461,Y
32,382,10741_29.3083396_-94.7836118_0_253.93.jpg,edff3tvyBemmOiafp9L96g,0.094895601,0.547241815,29.3083396,-94.7836118,29.30831999,-94.78376117,"[2021, 3]",12,Y,142.5890045,1534.815271,0.094895601,0.311337274,12,Y,13.18866273,11.68866273,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,40962.16711,56780.30407,70351.5118,64889.27322,65112.06659,Y
34,4371,18255_29.2820288_-94.8278514_0_150.52.jpg,6LVVfAAVLegpjhNQL4Smbw,0.099092615,0.512715216,29.28202879,-94.82785136,29.28188528,-94.82780295,"[2020, 2]",11,Y,109.2819977,1176.301633,0.099092615,0.325107005,11,Y,12.174893,10.674893,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,30201.41857,41864.13588,51870.19156,47842.88135,48007.14697,Y
36,11992,7167_29.2952273_-94.7840826_0_88.23.jpg,ZwKosYllqgW5TBxJ5neaxQ,0.11232331,0.922147783,29.2952273,-94.7840826,29.29524553,-94.78391682,"[2019, 10]",11,Y,150.1640015,1616.35186,0.11232331,0.368514797,11,Y,12.1314852,10.6314852,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,41429.49878,57428.10267,71154.14242,65629.58592,65854.9211,Y
38,11490,6496_29.297635_-94.7864362_0_314.13.jpg,RDjvGS8y0SfWqt6cnz9cxw,0.114260995,0.802550287,29.297635,-94.7864362,29.29790975,-94.78674563,"[2019, 8]",11,Y,92.5983963,996.7208425,0.114260995,0.374872031,11,Y,12.12512797,10.62512797,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,25541.09914,35404.16628,43866.20787,40460.34371,40599.26183,Y
39,10180,4658_29.3103962_-94.7843317_0_237.55.jpg,riW-992qOsaTlVzv9WXOHA,0.114793857,0.452634545,29.3103962,-94.7843317,29.31032636,-94.7844115,"[2021, 3]",12,Y,73.5951996,792.1721356,0.114793857,0.376620266,12,Y,13.12337973,11.62337973,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,21090.29958,29234.6257,36222.0694,33409.71214,33524.42235,Y
