,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,0.256,ORIGIN,-0.079
6519,11629,6674_29.2980251_-94.7813115_0_238.94.jpg,M-pzygIpBFPSPjcUJgnXPQ,2.328947724,0.850469672,29.2980251,-94.7813115,29.29787245,-94.78153951,"[2019, 10]",11,Y,5402.140137,58148.15249,2.328947724,7.896904606,11,Y,4.603095394,3.103095394,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,1102042.483,1527612.227,1892730.786,1745775.208,1751769.221,1769515.843,1774992.34
1976,9939,4176_29.2069718_-94.9493423_0_319.09.jpg,8jnnH-xLRp3q6zfdZMhNlA,1.345947516,0.323365945,29.2069718,-94.9493423,29.20741087,-94.94961074,"[2021, 3]",15,Y,3684.459961,39659.19695,1.345947516,4.671838307,15,Y,11.82816169,10.32816169,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,1004494.553,1392394.743,1725194.622,1591246.902,1596710.351,1612848.824,1617829.056
2529,6791,23369_29.2291089_-94.8961194_0_131.17.jpg,7YGZ_N0MsHnTg04RpK4neg,1.474034973,0.685594562,29.2291089,-94.8961194,29.2285592,-94.89559309,"[2021, 4]",16,Y,3166.149902,34080.15391,1.474034973,5.092072746,16,Y,12.40792725,10.90792725,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,882946.1483,1223908.653,1516438.234,1398698.797,1403501.144,1417369.343,1421648.983
6542,2257,14164_29.2974898_-94.7905982_0_133.99.jpg,9ZhA1LOYdpNAJr0NRtA8oA,2.340627025,0.745038317,29.29748984,-94.79059825,29.29740831,-94.79050389,"[2018, 8]",11,Y,3660.969971,39406.35281,2.340627025,7.935222523,11,Y,4.564777477,3.064777477,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,745709.3923,1033675.927,1280737.49,1181298.352,1185354.268,1197380.955,1201092.316
1076,2260,14175_29.2928064_-94.823828_0_341.89.jpg,PW6SDrzi1HhZwsRO97KbFg,1.111748485,0.58137596,29.2928064,-94.823828,29.29296041,-94.82386075,"[2019, 8]",12,Y,2799.229981,30130.66075,1.111748485,3.903468783,12,Y,9.596531217,8.096531217,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,695913.7466,964650.9677,1195214.697,1102415.727,1106200.804,1118461.841,1122245.52
1963,547,11195_29.3093959_-94.7858321_0_342.82.jpg,hCbaPZ4vP7vhOHMopQXf5w,1.341951291,0.380651802,29.3093959,-94.7858321,29.30951913,-94.7858601,"[2019, 1]",12,Y,2826.73999,30426.77602,1.341951291,4.658727333,12,Y,8.841272667,7.341272667,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,679772.8995,942277.0976,1167493.19,1076846.576,1080543.863,1092925.397,1096746.261
2087,2153,13974_29.2925915_-94.7995302_0_284.11.jpg,mDLCc5wJSojQ8VkDwMJ-qw,1.372982855,0.790835522,29.2925915,-94.7995302,29.29262456,-94.79965979,"[2021, 4]",10,Y,2932.139893,31561.29114,1.372982855,4.760536926,10,Y,6.739463074,5.239463074,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,648729.6298,899246.0174,1114177.14,1027670.096,1031198.538,1040830.939,1043803.438
1156,11552,6580_29.2974209_-94.799934_0_267.61.jpg,n9xzh3HNizUet8af-XDXNQ,1.133713667,0.37826314,29.3062117,-94.799934,29.30623283,-94.80017671,"[2018, 8]",13,Y,2401.919922,25854.05087,1.133713667,3.975533028,13,Y,10.52446697,9.024466972,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,621129.7912,860988.0995,1066775.098,983948.4472,987326.7743,997847.5344,1001094.175
4815,2253,14153_29.3021317_-94.7919269_0_313.55.jpg,c4NkULgdSWbGBwkx1qbb7A,1.935148048,0.519448599,29.3021317,-94.7919269,29.3022151,-94.79199911,"[2018, 8]",12,Y,2789.939941,30030.66359,1.935148048,6.604910919,12,Y,6.895089081,5.395089081,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,620773.3612,860494.0288,1066162.938,983383.8169,986760.2053,995925.4637,998753.8051
410,593,11385_29.3069884_-94.7951661_0_12.31.jpg,RW2-fQWQ8ckbM9me6YAoRQ,0.781968544,0.387505017,29.3069884,-94.7951661,29.30715515,-94.79514895,"[2019, 9]",12,Y,2223.459961,23933.12384,0.781968544,2.821513596,12,Y,10.6784864,9.178486404,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,578666.7093,802127.2805,993845.802,916681.5344,919828.9046,929567.9841,932573.4031
