,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,cost_2021_PCI_Family_house,0
8796,8358,26560_29.241698_-94.8720265_0_48.41.jpg,FEDqtcWNuvVXDpubhfIFlQ,5.275732304,0.618803217,29.241698,-94.8720265,29.24183925,-94.87190089,"[2020, 2]",17,N,2094.840088,22548.67104,5.275732304,19.30883302,17,N,0,-2.308833018,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,609324.1998,609324.1998
8446,2304,14304_29.2971755_-94.8414041_0_353.38.jpg,PauirreOHKsv64a3-MZTDg,4.000735064,0.534495064,29.2971755,-94.8414041,29.2973774,-94.84138717,"[2021, 3]",13,N,1370.359985,14750.43212,4.000735064,15.12577121,13,N,0,-2.125771207,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,398595.342,398595.342
8323,2310,14332_29.295653_-94.8048584_0_14.36.jpg,Fqa_wQVvGiFRnsVY0yKIuQ,3.807313076,0.694051531,29.29565304,-94.80485838,29.29578731,-94.80479333,"[2016, 9]",11,N,1344.290039,14469.81755,3.807313076,14.49118463,11,N,0,-3.491184633,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,391012.4009,391012.4009
7446,6241,22110_29.2776387_-94.811813_0_41.79.jpg,g3vx_SK6mWmngH-TMS9BUg,2.909858212,1.019770167,29.2776387,-94.811813,29.2777352,-94.81169846,"[2021, 4]",10,Y,524.7960205,5648.857352,2.909858212,11.54677891,10,N,0,-1.546778911,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,152646.9333,152646.9333
8188,6228,22079_29.2803262_-94.8402835_0_50.63.jpg,jfKlCbe4buXj7id_IWvuQw,3.614527981,0.802116955,29.2803262,-94.8402835,29.28041549,-94.84012948,"[2020, 3]",11,N,486.4410095,5236.007449,3.614527981,13.8586876,11,N,0,-2.858687602,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,141490.6467,141490.6467
6519,11629,6674_29.2980251_-94.7813115_0_238.94.jpg,M-pzygIpBFPSPjcUJgnXPQ,2.328947724,0.850469672,29.2980251,-94.7813115,29.29787245,-94.78153951,"[2019, 10]",11,Y,5402.140137,58148.15249,2.328947724,9.640904606,11,Y,2.859095394,1.359095394,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,1025984.7,1422183.623,1762103.419,1625290.023,1630870.357,1769515.843,138645.486
7910,2345,14403_29.2920644_-94.804059_0_147.88.jpg,5VXg1x8tyMgLZEgxDXrR1A,3.339919904,0.774429329,29.2920644,-94.804059,29.29196373,-94.80397878,"[2019, 10]",11,Y,447.9899902,4822.124122,3.339919904,12.95774247,11,N,0,-1.957742467,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,130306.4343,130306.4343
1976,9939,4176_29.2069718_-94.9493423_0_319.09.jpg,8jnnH-xLRp3q6zfdZMhNlA,1.345947516,0.323365945,29.2069718,-94.9493423,29.20741087,-94.94961074,"[2021, 3]",15,Y,3684.459961,39659.19695,1.345947516,6.415838307,15,Y,10.08416169,8.584161693,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,935328.9136,1296519.786,1606404.342,1481679.748,1486767.005,1612848.824,126081.8191
8297,4981,19347_29.2783816_-94.8292695_0_349.23.jpg,DNauE8iWrzVai7f2kfmm8A,3.769993635,0.250336536,29.2783816,-94.8292695,29.2785327,-94.82930036,"[2020, 3]",11,N,420.401001,4525.158714,3.769993635,14.36874552,11,N,0,-3.368745522,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,122281.6505,122281.6505
8249,10916,5714_29.302199_-94.786464_0_72.55.jpg,_wL1H7xW-WFq8W_p5hnJ3Q,3.694510355,0.565247874,29.302199,-94.786464,29.30223405,-94.78634633,"[2019, 9]",12,N,390.04599,4198.420095,3.694510355,14.12109697,12,N,0,-2.121096965,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,113452.3165,113452.3165
2529,6791,23369_29.2291089_-94.8961194_0_131.17.jpg,7YGZ_N0MsHnTg04RpK4neg,1.474034973,0.685594562,29.2291089,-94.8961194,29.2285592,-94.89559309,"[2021, 4]",16,Y,3166.149902,34080.15391,1.474034973,6.836072746,16,Y,10.66392725,9.163927254,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,823510.3599,1141520.87,1414358.734,1304544.962,1309024.038,1417369.343,108345.3053
7860,629,11448_29.304927_-94.7787122_0_237.87.jpg,9V8a8o0CBm-tJfMJerbUpg,3.287598026,0.716173655,29.304927,-94.7787122,29.30487748,-94.77880301,"[2017, 5]",11,Y,362.5859985,3902.843206,3.287598026,12.78608276,11,N,0,-1.786082762,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,105465.0542,105465.0542
7651,6066,21611_29.2661094_-94.8422177_0_244.90.jpg,jPpOJ8RMQqJy9t1sSYQ_4A,3.134915366,0.669631074,29.2661094,-94.8422177,29.26603774,-94.84238221,"[2021, 4]",10,N,352.6610107,3796.011527,3.134915366,12.2851554,10,N,0,-2.2851554,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,102578.1822,102578.1822
8137,5951,2115_29.2752736_-94.8351409_0_34.39.jpg,On21eCaJSGePfxIx927WPg,3.561417114,0.432974117,29.27527359,-94.83514093,29.27544125,-94.83505729,"[2017, 5]",11,N,349.5929871,3762.987595,3.561417114,13.68443935,11,N,0,-2.68443935,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,101685.789,101685.789
8289,5950,2114_29.2753545_-94.8351851_0_49.20.jpg,SofxVXWptWg8850kRM3LwA,3.76225939,0.429057459,29.2753545,-94.8351851,29.27544229,-94.83505061,"[2017, 5]",11,N,349.5929871,3762.987595,3.76225939,14.3433707,11,N,0,-3.343370702,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,101685.789,101685.789
7917,371,10834_29.307608_-94.7758557_0_44.22.jpg,mbySkVNPkR5QLD61FKobvQ,3.347265493,0.609631539,29.30760802,-94.7758557,29.30769453,-94.77574664,"[2019, 9]",11,Y,344.5119934,3708.296234,3.347265493,12.98184217,11,N,0,-1.981842169,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,100207.885,100207.885
8656,6466,22564_29.2586885_-94.8736586_0_231.07.jpg,Sb0jjKUKQFjKDdYsWHlCnQ,4.534666012,0.331381953,29.2586885,-94.8736586,29.25852396,-94.87391205,"[2020, 2]",14,N,338.9639893,3648.578015,4.534666012,16.87751316,14,N,0,-2.877513163,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,98594.14221,98594.14221
7793,11121,6006_29.2999832_-94.7847755_0_328.31.jpg,YIbgwxrxLS-nPpX_F8bEaA,3.235512946,0.749311676,29.2999832,-94.7847755,29.30007252,-94.78484029,"[2019, 10]",11,Y,327.3070068,3523.1033,3.235512946,12.61519995,11,N,0,-1.615199954,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,95203.48649,95203.48649
1076,2260,14175_29.2928064_-94.823828_0_341.89.jpg,PW6SDrzi1HhZwsRO97KbFg,1.111748485,0.58137596,29.2928064,-94.823828,29.29296041,-94.82386075,"[2019, 8]",12,Y,2799.229981,30130.66075,1.111748485,5.647468783,12,Y,7.852531217,6.352531217,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,644476.7073,893350.767,1106872.851,1020932.926,1024438.237,1118461.841,94023.60324
6542,2257,14164_29.2974898_-94.7905982_0_133.99.jpg,9ZhA1LOYdpNAJr0NRtA8oA,2.340627025,0.745038317,29.29748984,-94.79059825,29.29740831,-94.79050389,"[2018, 8]",11,Y,3660.969971,39406.35281,2.340627025,9.679222523,11,Y,2.820777477,1.320777477,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,694165.8828,962228.1408,1192212.784,1099646.889,1103422.46,1197380.955,93958.49568
8179,6190,21986_29.2609593_-94.8665794_0_49.93.jpg,RFK-zyEAbTtpF76sLUrW3g,3.600501982,0.686058923,29.2609593,-94.8665794,29.26113183,-94.86631975,"[2021, 3]",11,N,320.1900024,3446.496502,3.600501982,13.81267054,11,N,0,-2.812670545,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,93133.37,93133.37
8121,332,10764_29.3080612_-94.7785425_0_43.46.jpg,nvh0r_60lMZuyx3-p_SlBQ,3.549007979,0.608102817,29.3080612,-94.7785425,29.30817532,-94.7784297,"[2021, 4]",11,N,315.7030029,3398.198842,3.549007979,13.64372697,11,N,0,-2.643726965,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,91828.2406,91828.2406
7927,1591,13050_29.2957012_-94.7901907_0_326.99.jpg,M4xzIRB8rEhetc_WFLGpXg,3.354238079,0.797027077,29.2957012,-94.7901907,29.29579375,-94.79027465,"[2019, 10]",11,N,305.3479919,3286.738431,3.354238079,13.00471811,11,N,0,-2.004718107,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,88816.28813,88816.28813
7979,10982,5823_29.3011087_-94.780503_0_343.91.jpg,WORH9YVTInNsR8tfgoawYA,3.417694085,0.764825191,29.3011087,-94.780503,29.30120936,-94.78056076,"[2019, 10]",11,N,303.302002,3264.715579,3.417694085,13.2129071,11,N,0,-2.212907103,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,88221.17294,88221.17294
1963,547,11195_29.3093959_-94.7858321_0_342.82.jpg,hCbaPZ4vP7vhOHMopQXf5w,1.341951291,0.380651802,29.3093959,-94.7858321,29.30951913,-94.7858601,"[2019, 1]",12,Y,2826.73999,30426.77602,1.341951291,6.402727333,12,Y,7.097272667,5.597272667,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,633575.3727,878239.7235,1088150.077,1003663.829,1007109.847,1092925.397,85815.55022
8206,367,10837_29.3075342_-94.7785962_0_314.04.jpg,KkevGk4VLQU5YqLcB5Fh2A,3.641044829,0.601839282,29.3075342,-94.7785962,29.30759852,-94.77867896,"[2021, 3]",12,Y,290.5710144,3127.680369,3.641044829,13.94568513,12,N,0,-1.945685135,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,84518.12234,84518.12234
8241,5993,21632_29.2652297_-94.8689182_0_79.59.jpg,WUfcQCSzYAm2d9CyZo11vw,3.684267013,0.640762051,29.2652297,-94.8689182,29.26531088,-94.86868159,"[2021, 3]",12,N,289.9410095,3120.899052,3.684267013,14.0874902,12,N,0,-2.0874902,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,84334.8734,84334.8734
1156,11552,6580_29.2974209_-94.799934_0_267.61.jpg,n9xzh3HNizUet8af-XDXNQ,1.133713667,0.37826314,29.3062117,-94.799934,29.30623283,-94.80017671,"[2018, 8]",13,Y,2401.919922,25854.05087,1.133713667,5.719533028,13,Y,8.780466972,7.280466972,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,576040.3265,798486.6818,989335.0543,912521.0106,915654.0959,997847.5344,82193.4385
8091,5412,20113_29.2760983_-94.8395521_0_154.46.jpg,JtI9ijZSbzIreBnIuLqdcg,3.516736172,0.36598402,29.2760983,-94.8395521,29.27598833,-94.83948236,"[2021, 4]",11,N,278.2260132,2994.799882,3.516736172,13.53784833,11,N,0,-2.537848333,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0,0,0,0,80927.34325,80927.34325
