,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
0,5263,19853_29.2773326_-94.8444247_0_228.65.jpg,DEpclQyiWt_Xix8nIuXZ5Q,-0.109472586,0.700360521,29.2773326,-94.8444247,29.27726391,-94.84456675,"[2020, 3]",11,Y,223.6320038,2407.154855212488,-0.109472586,-2.359162027559055,11,Y,14.859162027559055,13.359162027559055,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,68264.89456439641,94626.37707509063,117243.27285445109,108140.25983174473,108511.5528269513,Y
1,5027,19456_29.2780488_-94.8366171_0_277.49.jpg,nU1BqkIRDU7k8GjejfHMWA,-0.08080615,0.312484851,29.2780488,-94.8366171,29.27812529,-94.83697386,"[2019, 10]",11,Y,0.0,0.0,-0.08080615,-2.2651120406824146,11,Y,14.765112040682414,13.265112040682414,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
2,418,10928_29.3066447_-94.7819566_0_343.01.jpg,UtHFaz0ZrDDry_LRHJVKUA,-0.078344013,0.630976166,29.3066447,-94.7819566,29.30679172,-94.78201042,"[2021, 3]",12,Y,106.9079971,1150.7481036142628,-0.078344013,-2.2570341633858266,12,Y,15.757034163385827,14.257034163385827,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,33667.47658089394,46668.66263310725,57823.06071491832,53333.557292798,53516.6748131653,Y
3,2286,14262_29.30033_-94.8046854_0_238.99.jpg,8fL33KAYNeXQsMbykXGkPA,-0.072425335,0.353248133,29.30033,-94.8046854,29.30025014,-94.80485036,"[2021, 4]",12,Y,1044.780029,11245.918637323384,-0.072425335,-2.23761592847769,12,Y,15.737615928477691,14.237615928477691,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,328803.8498809703,455776.2416702751,564712.5031567012,520867.04281457793,522655.4080795765,N
4,7620,24888_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.19904945,-94.94322984,29.19911324,-94.94357058,"[2020, 2]",16,Y,181.503006,1953.682096947527,-0.064864486,-2.21280999343832,16,Y,19.71280999343832,18.21280999343832,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,64887.27227350036,89944.43678125393,111442.2898693058,102789.67730346683,103142.59939947161,Y
5,10004,4296_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.1990495,-94.9432298,29.19911329,-94.94357054,"[2020, 2]",16,Y,181.503006,1953.682096947527,-0.064864486,-2.21280999343832,16,Y,19.71280999343832,18.21280999343832,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,64887.27227350036,89944.43678125393,111442.2898693058,102789.67730346683,103142.59939947161,Y
6,4560,18590_29.2806286_-94.8783762_0_165.08.jpg,75EmYlywqhiL0vWhYgXUwg,-0.061425645,0.369429122,29.2806286,-94.8783762,29.27998253,-94.87823497,"[2020, 2]",15,Y,0.0,0.0,-0.061425645,-2.2015277066929135,15,Y,18.701527706692914,17.201527706692914,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
7,6669,23114_29.238179_-94.8826455_0_184.91.jpg,U69qvzHE_dFkR2D0ms5W4g,-0.033312534,0.581482857,29.238179,-94.8826455,29.23766125,-94.88276663,"[2021, 4]",17,Y,0.0,0.0,-0.033312534,-2.1092930905511813,17,Y,20.60929309055118,19.10929309055118,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
8,677,11542_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.30422741,-94.78594592,29.30425133,-94.78608531,"[2019, 10]",12,Y,127.2580032,1369.793746254159,-0.029249703,-2.095963592519685,12,Y,15.595963592519684,14.095963592519684,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,39855.46897027216,55246.238338915,68450.78503440364,63136.12285880748,63352.8968909621,Y
9,10696,5422_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.3042274,-94.7859459,29.30425132,-94.78608529,"[2019, 10]",12,Y,127.2580032,1369.793746254159,-0.029249703,-2.095963592519685,12,Y,15.595963592519684,14.095963592519684,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,39855.46897027216,55246.238338915,68450.78503440364,63136.12285880748,63352.8968909621,Y
10,487,11068_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.8483929051192,-0.013347227,-2.043790114829396,11,Y,14.543790114829395,13.043790114829395,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,45959.52036065662,63707.45800735496,78934.34275828372,72805.71522534678,73055.68921390788,Y
11,10506,5153_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.8483929051192,-0.013347227,-2.043790114829396,11,Y,14.543790114829395,13.043790114829395,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,45959.52036065662,63707.45800735496,78934.34275828372,72805.71522534678,73055.68921390788,Y
12,2787,15188_29.2889208_-94.8736963_0_207.56.jpg,MRse6B7PYjy1Clf-VBk42Q,-0.000566192,0.536811565,29.2889208,-94.8736963,29.28871241,-94.87384,"[2020, 2]",12,Y,58.2543983,627.0451246805271,-0.000566192,-2.0018575853018374,12,Y,15.501857585301838,14.001857585301838,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,18185.47340554248,25208.058618454128,31233.102080925088,28808.098683628807,28907.009535730445,Y
13,11453,6443_29.2976175_-94.8019464_0_343.01.jpg,vLDooUJMM9R7x-XNLP2NZg,0.008404294,0.705875737,29.2976175,-94.8019464,29.29793666,-94.80200436,"[2021, 3]",12,Y,218.5579987,2352.53871886216,0.008404294,-1.9724268569553807,12,Y,15.47242685695538,13.97242685695538,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,68158.75596038945,94479.25150448695,117060.98241967663,107972.12280774824,108342.8385147243,Y
14,892,11944_29.3008487_-94.7967412_0_178.29.jpg,#NAME?,0.015298904,0.529346796,29.3008487,-94.7967412,29.3007375,-94.7967387,"[2019, 1]",12,Y,0.0,0.0,0.015298904,-1.9498067454068242,12,Y,15.449806745406825,13.949806745406825,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
15,3656,16690_29.285825_-94.7990469_0_327.99.jpg,kyNyyeIsHgeYktROdppcBQ,0.027293669,0.941977822,29.285825,-94.79904687,29.28604761,-94.79913612,"[2016, 10]",-9999,Nodata,76.4309006,822.6953671268453,0.027293669,-1.910453841863517,-9999,N,0.0,-9997.089546158137,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
16,11654,6711_29.2970201_-94.8010493_0_237.79.jpg,MhRaqIsuIL4IdWeZqGHA3w,0.027832069,0.675658395,29.29702006,-94.80104934,29.29690479,-94.80129117,"[2020, 3]",11,Y,20.0716991,216.04997102355316,0.027832069,-1.908687437664042,11,Y,14.408687437664042,12.908687437664042,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,6029.671112212718,8358.11636337897,10355.81143049859,9551.764562670629,9584.559964489525,Y
17,4671,18764_29.28058_-94.82614_0_193.48.jpg,to6suU4_-e5wIOzFqjtGyA,0.032185339,0.42841869,29.28058001,-94.82613998,29.28047759,-94.82614469,"[2021, 4]",11,Y,0.0,0.0,0.032185339,-1.8944050557742782,11,Y,14.394405055774278,12.894405055774278,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
18,13187,9523_29.2817097_-94.8110427_0_344.90.jpg,bp40iLp3f-lTi4OJp5JEdg,0.033119381,0.927407345,29.2817097,-94.8110427,29.28193395,-94.8111588,"[2020, 2]",-9999,Nodata,149.4700012,1608.8817029022948,0.033119381,-1.8913406135170603,-9999,N,0.0,-9997.108659386482,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
