,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
0,5263,19853_29.2773326_-94.8444247_0_228.65.jpg,DEpclQyiWt_Xix8nIuXZ5Q,-0.109472586,0.700360521,29.2773326,-94.8444247,29.27726391,-94.84456675,"[2020, 3]",11,Y,223.6320038,2407.154855212488,-0.109472586,-0.3591620275590551,11,Y,12.859162027559055,11.359162027559055,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,63450.584853971435,87952.95160623269,108974.81465808299,100513.78203055613,100858.8899787683,Y
1,5027,19456_29.2780488_-94.8366171_0_277.49.jpg,nU1BqkIRDU7k8GjejfHMWA,-0.08080615,0.312484851,29.2780488,-94.8366171,29.27812529,-94.83697386,"[2019, 10]",11,Y,0.0,0.0,-0.08080615,-0.2651120406824147,11,Y,12.765112040682414,11.265112040682414,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
2,418,10928_29.3066447_-94.7819566_0_343.01.jpg,UtHFaz0ZrDDry_LRHJVKUA,-0.078344013,0.630976166,29.3066447,-94.7819566,29.30679172,-94.78201042,"[2021, 3]",12,Y,106.9079971,1150.7481036142628,-0.078344013,-0.2570341633858268,12,Y,13.757034163385827,12.257034163385827,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,31365.980373665414,43478.41017125577,53870.297738876,49687.69510492504,49858.29477954319,Y
3,2286,14262_29.30033_-94.8046854_0_238.99.jpg,8fL33KAYNeXQsMbykXGkPA,-0.072425335,0.353248133,29.30033,-94.8046854,29.30025014,-94.80485036,"[2021, 4]",12,Y,1044.780029,11245.918637323384,-0.072425335,-0.23761592847769025,12,Y,13.737615928477691,12.237615928477691,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,306312.0126063236,424598.854103162,526083.3273348337,485237.11703070113,486903.1491157734,N
4,7620,24888_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.19904945,-94.94322984,29.19911324,-94.94357058,"[2020, 2]",16,Y,181.503006,1953.682096947527,-0.064864486,-0.2128099934383202,16,Y,17.71280999343832,16.21280999343832,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,60979.90807960532,84528.18703911988,104731.48823034043,96599.9163453441,96931.58627412336,Y
5,10004,4296_29.1990495_-94.9432298_0_278.77.jpg,ibhLi43xJp3sWz4043ttow,-0.064864486,0.528301074,29.1990495,-94.9432298,29.19911329,-94.94357054,"[2020, 2]",16,Y,181.503006,1953.682096947527,-0.064864486,-0.2128099934383202,16,Y,17.71280999343832,16.21280999343832,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,60979.90807960532,84528.18703911988,104731.48823034043,96599.9163453441,96931.58627412336,Y
6,4560,18590_29.2806286_-94.8783762_0_165.08.jpg,75EmYlywqhiL0vWhYgXUwg,-0.061425645,0.369429122,29.2806286,-94.8783762,29.27998253,-94.87823497,"[2020, 2]",15,Y,0.0,0.0,-0.061425645,-0.20152770669291337,15,Y,16.701527706692914,15.201527706692913,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
7,6669,23114_29.238179_-94.8826455_0_184.91.jpg,U69qvzHE_dFkR2D0ms5W4g,-0.033312534,0.581482857,29.238179,-94.8826455,29.23766125,-94.88276663,"[2021, 4]",17,Y,0.0,0.0,-0.033312534,-0.1092930905511811,17,Y,18.60929309055118,17.10929309055118,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
8,677,11542_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.30422741,-94.78594592,29.30425133,-94.78608531,"[2019, 10]",12,Y,127.2580032,1369.793746254159,-0.029249703,-0.09596359251968503,12,Y,13.595963592519684,12.095963592519684,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,37115.88147776384,51448.719266330074,63745.611080171606,58796.268455426296,58998.14186183155,Y
9,10696,5422_29.3042274_-94.7859459_0_268.51.jpg,s79BMx7VijAiUUC5ULqSKA,-0.029249703,0.517538686,29.3042274,-94.7859459,29.30425132,-94.78608529,"[2019, 10]",12,Y,127.2580032,1369.793746254159,-0.029249703,-0.09596359251968503,12,Y,13.595963592519684,12.095963592519684,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,37115.88147776384,51448.719266330074,63745.611080171606,58796.268455426296,58998.14186183155,Y
10,487,11068_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.8483929051192,-0.013347227,-0.04379011482939632,11,Y,12.543790114829397,11.043790114829397,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,42681.823574846385,59164.03090663174,73304.97936374428,67613.42738356555,67845.57396808907,Y
11,10506,5153_29.3059811_-94.7771675_0_192.42.jpg,d6fV0FVAwyft8wySRfc1AQ,-0.013347227,0.686857784,29.30598105,-94.77716752,29.30572137,-94.77727255,"[2019, 9]",11,Y,152.2539978,1638.8483929051192,-0.013347227,-0.04379011482939632,11,Y,12.543790114829397,11.043790114829397,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,42681.823574846385,59164.03090663174,73304.97936374428,67613.42738356555,67845.57396808907,Y
12,2787,15188_29.2889208_-94.8736963_0_207.56.jpg,MRse6B7PYjy1Clf-VBk42Q,-0.000566192,0.536811565,29.2889208,-94.8736963,29.28871241,-94.87384,"[2020, 2]",12,Y,58.2543983,627.0451246805271,-0.000566192,-0.0018575853018372702,12,Y,13.501857585301837,12.001857585301837,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,16931.383156181426,23469.683168239542,29079.23300622457,26821.460510615445,26913.55036155806,Y
13,11453,6443_29.2976175_-94.8019464_0_343.01.jpg,vLDooUJMM9R7x-XNLP2NZg,0.008404294,0.705875737,29.2976175,-94.8019464,29.29793666,-94.80200436,"[2021, 3]",12,Y,218.5579987,2352.53871886216,0.008404294,0.02757314304461942,12,Y,13.47242685695538,11.97242685695538,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,63453.67852266513,87957.23994011532,108980.12795776785,100518.68279453597,100863.80756922277,Y
14,892,11944_29.3008487_-94.7967412_0_178.29.jpg,#NAME?,0.015298904,0.529346796,29.3008487,-94.7967412,29.3007375,-94.7967387,"[2019, 1]",12,Y,0.0,0.0,0.015298904,0.05019325459317585,12,Y,13.449806745406825,11.949806745406825,0.838,1.1,10035,5920,88.8,121.1,Y,12133,72.5,114,156,0.0,0.0,0.0,0.0,0.0,Y
15,3656,16690_29.285825_-94.7990469_0_327.99.jpg,kyNyyeIsHgeYktROdppcBQ,0.027293669,0.941977822,29.285825,-94.79904687,29.28604761,-94.79913612,"[2016, 10]",-9999,Nodata,76.4309006,822.6953671268453,0.027293669,0.08954615813648294,-9999,N,0,-9999.089546158137,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,0,0.0,0.0,0.0,0.0,Y
