FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld
0,236,400498,3505-0009-0012-000,615.8109741,14257_29.3009286_-94.7755722_0_336.06.jpg,xdfj2IZkwyy9f11MADVt9w,14257,0.845215000000000,498,400,364,6.178855050000000,1.560395825000000,81.066617330000000,-0.902229440000000,2.462625265000000,4.618459225000000,0.079380530000000,29.300928599999999,-94.775572199999999,29.301618489999999,-94.775849249999993,2021,Not_at_edge,Y,F,-9999.000000000000000,NoData
1,255,400517,3510-0047-2000-002,1877.0100098,12747_29.297274_-94.7797757_0_224.98.jpg,QiLcPEkSlWme7AVZ4ZYkxw,12747,0.305420000000000,21,432,388,5.399560547000000,0.190632916000000,68.195079899999996,-2.260672235000000,2.451305151000000,5.208927631000000,-0.247422298000000,29.297274000000002,-94.779775700000002,29.296745540000000,-94.780135139999999,2021,Not_at_edge,Y,F,-9999.000000000000000,NoData
2,295,400557,3510-0158-1005-000,913.6810303,18659_29.2810313_-94.80802_0_283.46.jpg,Y5W38pQXwNH6E9pReUkDSw,18659,0.883789000000000,456,540,375,3.627866936000000,0.498015356000000,17.654404090000000,-1.931572723000000,2.429588079000000,3.129851580000000,0.050894225000000,29.281031309999999,-94.808019999999999,29.281076219999999,-94.808194310000005,2020,Not_at_edge,Y,F,-9999.000000000000000,NoData
3,260,400522,3505-0155-0007-000,983.4990234,12977_29.2959357_-94.8056493_0_266.59.jpg,rfCwLlvRzQ_uNr0dSOgn7Q,12977,0.360596000000000,566,571,341,3.046046102000000,0.752350891000000,12.696248260000001,-1.652121460000000,2.404472351000000,2.293695211000000,0.127007060000000,29.295935700000001,-94.805649299999999,29.295943420000000,-94.805779680000001,2019,Not_at_edge,Y,T,11.000000000000000,Y
4,270,400532,3510-0043-2014-000,727.1209717,14795_29.2907731_-94.7900275_0_102.87.jpg,cbP6aUmVsv4Du-B-qndkJg,14795,0.573730000000000,620,524,382,3.009210050000000,0.373565137000000,20.763299700000001,-2.001410306000000,2.374975443000000,2.635644913000000,0.163212442000000,29.294428900000000,-94.790027499999994,29.294358060000000,-94.789829670000003,2019,Not_at_edge,Y,T,11.000000000000000,Y
5,273,400535,3510-0009-1007-000,480.7730103,14072_29.2922203_-94.8093633_0_283.51.jpg,stkHFI9Zh4qisfVBr-j_MA,14072,0.891113000000000,573,628,379,2.759361925000000,0.453729811000000,11.832240510000000,-1.997257051000000,2.450986862000000,2.305632114000000,0.131124667000000,29.292220289999999,-94.809363259999998,29.292258589999999,-94.809476930000002,2020,Not_at_edge,Y,T,11.000000000000000,Y
6,373,402258,3505-0164-0010-001,202.8999939,13802_29.2926853_-94.8161803_0_320.50.jpg,v9dJcayjDlCE14HqBiLJYA,13802,0.895996000000000,282,485,339,3.254976227000000,1.033143713000000,19.976507420000001,-1.418215082000000,2.451358795000000,2.221832514000000,-0.071053919000000,29.292685299999999,-94.816180299999999,29.292815879999999,-94.816322009999993,2020,Not_at_edge,Y,T,11.000000000000000,Y
7,376,402261,3505-0164-0013-000,103.4950027,13834_29.292616_-94.8164804_0_309.11.jpg,itjnDewiyBCYTstz4t60Gg,13834,0.414307000000000,180,493,348,3.115853430000000,0.911143900000000,20.263799500000001,-1.539998888000000,2.451142788000000,2.204709530000000,-0.140714119000000,29.292615999999999,-94.816480400000003,29.292710289999999,-94.816659079999994,2020,Not_at_edge,Y,T,11.000000000000000,Y
8,377,402262,2965-0012-0013-002,111.1119995,13816_29.2928913_-94.8170099_0_223.98.jpg,kgsYMorwmMd3BJGJm15q_A,13816,0.816895000000000,77,434,330,3.622896618000000,1.475357479000000,28.881338240000002,-0.985438877000000,2.460796356000000,2.147539139000000,-0.210363302000000,29.292891300000001,-94.817009900000002,29.292670149999999,-94.817167100000006,2021,Not_at_edge,Y,T,11.000000000000000,N
9,438,402323,2965-0008-0022-000,135.9179993,14475_29.2911445_-94.8220787_0_312.55.jpg,4LfwxEayhDmxsabSOxVivA,14475,0.477295000000000,306,458,353,3.085001580000000,0.931925170000000,28.014488889999999,-1.444424518000000,2.376349688000000,2.153076410000000,-0.054373264000000,29.291144500000001,-94.822078700000006,29.291305040000001,-94.822301379999999,2019,Not_at_edge,Y,T,11.000000000000000,Y
