,FID,image,panoId,FFE_gsv_m,camera_dem,pano_lat,pano_lon,target_lat,target_lon,image_date,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,ENR_Construction_index_2015,ENR_Construction_index_1998,rsmeans_Construction_index_2015,rsmeans_construction_index_2021,area_ft_unreal_too_low,ENR_Construction_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998_ENR,cost_2015_ENR,cost_2021_ENR,cost_2021_RSMeans,cost_2021_PCI_Family_house,is_residential
10637,5687,20621_29.2722154_-94.8736293_0_25.02.jpg,Odm2QFy2nETqcuFa9I5m7Q,1.625561296,0.306455531,29.2722154,-94.8736293,29.27235933,-94.87355205,"[2020, 2]",14,Y,362.5679932,3902.649399,1.625561296,5.333206352,14,Y,10.16679365,8.666793648,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,92363.198,133393.3645,135154.0505,152443.6794,152967.0855,Y
9325,10989,5836_29.3010563_-94.7910897_0_267.62.jpg,EjFKxxQLh0GhKMa6c1ASnA,0.777833536,0.590004467,29.3010563,-94.7910897,29.30104341,-94.79119103,"[2019, 8]",12,Y,350.4169922,3771.857113,0.777833536,2.551947297,12,Y,10.9480527,9.448052703,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,92214.56148,133178.6997,134936.5523,152198.3577,152720.9215,Y
9248,971,12035_29.2998892_-94.8004864_0_326.02.jpg,oSZC3VsTzjJER9fF_0F8cA,0.993650347,0.523688238,29.2998892,-94.8004864,29.30000865,-94.80053813,"[2019, 1]",12,Y,360.5469971,3880.895578,0.993650347,3.2600077,12,Y,10.2399923,8.7399923,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,92132.43113,133060.0849,134816.3719,152062.8031,152584.9015,Y
7212,11303,6243_29.2987543_-94.7915444_0_71.01.jpg,NgUMd-gRgMfyHUW2qVshTQ,0.889949271,0.700947622,29.2987543,-94.7915444,29.29877499,-94.79138227,"[2019, 1]",11,Y,370.5329895,3988.383905,0.889949271,2.919781073,11,Y,9.580218927,8.080218927,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,92052.7737,132945.0415,134699.8101,151931.3301,152452.9771,Y
9333,1285,12565_29.2974365_-94.8110877_0_75.34.jpg,zWV_oWl21FwJ7jpywIA-Xg,0.757583381,0.422465238,29.29743651,-94.81108772,29.29752388,-94.81065185,"[2019, 10]",12,Y,348.4719849,3750.921228,0.757583381,2.48550978,12,Y,11.01449022,9.51449022,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,91951.92176,132799.3885,134552.2345,151764.8759,152285.9514,Y
7138,11302,6242_29.2988435_-94.7915774_0_103.55.jpg,0Ttt6s4KqXYI96BKXJWTDQ,0.9657903,0.70443193,29.2988435,-94.7915774,29.29876865,-94.79138409,"[2019, 1]",11,Y,370.5329895,3988.383905,0.9657903,3.168603346,11,Y,9.331396654,7.831396654,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,91060.37495,131511.7931,133247.6439,150293.3951,150809.4183,Y
9309,766,11703_29.3028538_-94.7866882_0_283.34.jpg,kDGQTNXGhf9noEPH3ZS4Qg,0.804240141,0.552452761,29.3028538,-94.7866882,29.30289624,-94.78686211,"[2019, 9]",12,Y,346.8819885,3733.806649,0.804240141,2.63858314,12,Y,10.86141686,9.36141686,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,90960.82026,131368.0136,133101.9666,150129.082,150644.541,Y
11106,9998,4279_29.200086_-94.9458089_0_63.42.jpg,1OD6bI1ijk7pUALftDoD_g,1.187939847,0.633353855,29.200086,-94.9458089,29.20015752,-94.94562057,"[2021, 3]",15,Y,323,3476.743065,1.187939847,3.897440443,15,Y,12.60255956,11.10255956,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,90751.89291,131066.2752,132796.2455,149784.2514,150298.5265,Y
9215,920,11973_29.300648_-94.799983_0_140.62.jpg,xBwaPKLBW8_oiAUOm_G9sA,1.065389451,0.459318076,29.300648,-94.799983,29.3004454,-94.79983554,"[2021, 4]",12,Y,356.9689941,3842.382274,1.065389451,3.495372215,12,Y,10.00462779,8.504627785,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,90313.76516,130433.5195,132155.138,149061.13,149572.9223,Y
11580,6745,23294_29.2319399_-94.8890661_0_141.05.jpg,oTc45Tm91K2OCxQbYdxabw,1.725267492,0.713653896,29.2319399,-94.8890661,29.23186292,-94.88901221,"[2020, 2]",17,Y,317.8269958,3421.061311,1.725267492,5.660326417,17,Y,12.83967358,11.33967358,0.838,1.1,10035,5920,88.8,121.1,N,12133,72.5,114,156,90109.63823,130138.714,131856.4413,148724.2224,149234.858,Y
